perturbacion,f1_macro,accuracy,degradacion_f1,degradacion_acc
rotation_high,0.05183717030035066,0.22164276401564537,92.09477830017596,70.55002165439583
rotation_med,0.05183717030035066,0.22164276401564537,92.09477830017596,70.55002165439583
rotation_low,0.05183717030035066,0.22164276401564537,92.09477830017596,70.55002165439583
jpeg_compression_med,0.05183717030035066,0.22164276401564537,92.09477830017596,70.55002165439583
gaussian_blur_high,0.6053921045566997,0.7115384615384616,7.67708240796094,5.456907752273715
gaussian_blur_med,0.6293136310006616,0.728161668839635,4.029025061427049,3.2481593763534047
gaussian_blur_low,0.6514049249214776,0.7503259452411994,0.6600800540479672,0.30316154179299565
sin_perturbacion,0.6557332895737062,0.7526075619295959,0.0,0.0
brightness_low,0.6559829440500284,0.7529335071707953,-0.038072563996940416,-0.04330879168470734
brightness_med,0.6561301119507567,0.7532594524119948,-0.06051581997741566,-0.08661758336941468
brightness_high,0.6576012375698348,0.7545632333767927,-0.28486398751280523,-0.2598527501082588
